movie_id,titleType,originalTitle,isAdult
tt7286456,movie,Joker,0
tt4154796,movie,Avengers: Endgame,0
tt4154756,movie,Avengers: Infinity War,0
tt6751668,movie,Gisaengchung,0
tt1825683,movie,Black Panther,0
tt7131622,movie,Once Upon a Time... in Hollywood,0
tt8946378,movie,Knives Out,0
tt5463162,movie,Deadpool 2,0
tt8579674,movie,1917,0
tt4154664,movie,Captain Marvel,0
tt1727824,movie,Bohemian Rhapsody,0
tt6644200,movie,A Quiet Place,0
tt4633694,movie,Spider-Man: Into the Spider-Verse,0
tt6723592,movie,Tenet,0
tt1270797,movie,Venom,0
tt6966692,movie,Green Book,0
tt6320628,movie,Spider-Man: Far from Home,0
tt1477834,movie,Aquaman,0
tt2527338,movie,Star Wars: Episode IX - The Rise of Skywalker,0
tt1677720,movie,Ready Player One,0
tt5095030,movie,Ant-Man and the Wasp,0
tt1517451,movie,A Star Is Born,0
tt1302006,movie,The Irishman,0
tt2584384,movie,Jojo Rabbit,0
tt1950186,movie,Ford v Ferrari,0
tt3778644,movie,Solo: A Star Wars Story,0
tt6146586,movie,John Wick: Chapter 3 - Parabellum,0
tt2737304,movie,Bird Box,0
tt4912910,movie,Mission: Impossible - Fallout,0
tt0448115,movie,Shazam!,0
tt2798920,movie,Annihilation,0
tt8367814,movie,The Gentlemen,0
tt2948372,movie,Soul,0
tt4881806,movie,Jurassic World: Fallen Kingdom,0
tt7653254,movie,Marriage Story,0
tt7784604,movie,Hereditary,0
tt3606756,movie,Incredibles 2,0
tt8772262,movie,Midsommar,0
tt6857112,movie,Us,0
tt5727208,movie,Uncut Gems,0
tt0437086,movie,Alita: Battle Angel,0
tt6139732,movie,Aladdin,0
tt4123430,movie,Fantastic Beasts: The Crimes of Grindelwald,0
tt7349662,movie,BlacKkKlansman,0
tt7126948,movie,Wonder Woman 1984,0
tt7349950,movie,It Chapter Two,0
tt1979376,movie,Toy Story 4,0
tt6105098,movie,The Lion King,0
tt7975244,movie,Jumanji: The Next Level,0
tt6823368,movie,Glass,0
tt2704998,movie,Game Night,0
tt7713068,movie,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,0
tt2935510,movie,Ad Astra,0
tt9243946,movie,El Camino: A Breaking Bad Movie,0
tt1051906,movie,The Invisible Man,0
tt5164214,movie,Ocean's Eight,0
tt1365519,movie,Tomb Raider,0
tt8228288,movie,El hoyo,0
tt6806448,movie,Fast & Furious Presents: Hobbs & Shaw,0
tt8332922,movie,A Quiet Place Part II,0
tt7984734,movie,The Lighthouse,0
tt5083738,movie,The Favourite,0
tt8936646,movie,Extraction,0
tt3281548,movie,Little Women,0
tt1213641,movie,First Man,0
tt2873282,movie,Red Sparrow,0
tt5606664,movie,Doctor Sleep,0
tt6499752,movie,Upgrade,0
tt6565702,movie,Dark Phoenix,0
tt3741700,movie,Godzilla: King of the Monsters,0
tt6450804,movie,Terminator: Dark Fate,0
tt1560220,movie,Zombieland: Double Tap,0
tt1070874,movie,The Trial of the Chicago 7,0
tt2066051,movie,Rocketman,0
tt4779682,movie,The Meg,0
tt8106534,movie,6 Underground,0
tt3104988,movie,Crazy Rich Asians,0
tt4520988,movie,Frozen II,0
tt5104604,movie,Isle of Dogs,0
tt2231461,movie,Rampage,0
tt7846844,movie,Enola Holmes,0
tt7668870,movie,Searching,0
tt4701182,movie,Bumblebee,0
tt9620292,movie,Promising Young Woman,0
tt5884052,movie,Pokémon: Detective Pikachu,0
tt7556122,movie,The Old Guard,0
tt1502397,movie,Bad Boys for Life,0
tt6155172,movie,Roma,0
tt3766354,movie,The Equalizer 2,0
tt5848272,movie,Ralph Breaks the Internet,0
tt9770150,movie,Nomadland,0
tt8079248,movie,Yesterday,0
tt9484998,movie,Palm Springs,0
tt1502407,movie,Halloween,0
tt7040874,movie,A Simple Favor,0
tt6628394,movie,Bad Times at the El Royale,0
tt4566758,movie,Mulan,0
tt5052474,movie,Sicario: Day of the Soldado,0
tt6412452,movie,The Ballad of Buster Scruggs,0
tt6266538,movie,Vice,0
